Date,monthly_temp_anomaly_relative_1992_2018
2018-01-01,-0.7912515637985518
2019-01-01,-1.2337630845358802
2020-01-01,-2.886412854121133
2021-01-01,3.3700387587820924
2022-01-01,2.9027000491046735
2018-02-01,-3.3266665887962485
2019-02-01,3.5791369826323223
2020-02-01,-1.281438756283933
2021-02-01,2.316636982632323
2022-02-01,-0.1601487316533916
2018-03-01,1.2740794962839583
2019-03-01,2.408353689832346
2020-03-01,0.5389988511226687
2021-03-01,3.273676270477507
2022-03-01,3.6232730446710555
2018-04-01,0.41137769618277265
2019-04-01,4.164294362849439
2020-04-01,3.6526276961827726
2021-04-01,2.6959610295161056
2022-04-01,1.8692943628494394
2018-05-01,-2.3922509143442325
2019-05-01,4.46852097505669
2020-05-01,1.0893735096189012
2021-05-01,2.845652311462219
2022-05-01,-2.412412204666813
2018-06-01,-2.1059020028372593
2019-06-01,1.0974313304960734
2020-06-01,-1.8021520028372588
2021-06-01,-0.2202472409324976
2022-06-01,-1.637568669503926
2018-07-01,-2.855896888181797
2019-07-01,1.4755547247214302
2020-07-01,0.04490956343110675
2021-07-01,0.08563536988271814
2022-07-01,0.4160609971228624
2018-08-01,-0.20866424714439713
2019-08-01,0.4340776883394728
2020-08-01,-0.7320513439185907
2021-08-01,1.2917389786620541
2022-08-01,0.7215776883394724
2018-09-01,-0.8945869943320681
2019-09-01,0.912913005667932
2020-09-01,-1.8550631848082584
2021-09-01,-4.096729851474925
2022-09-01,2.361246339001265
2018-10-01,-2.927063687754177
2019-10-01,1.591887925149049
2020-10-01,1.7406782477296938
2021-10-01,-0.20327336517353167
2022-10-01,1.6551943767619521
2018-11-01,-0.9428355315429844
2019-11-01,4.6404382779808255
2020-11-01,0.04133113512368247
2021-11-01,-0.3584102441866621
2022-11-01,0.6346644684570162
2018-12-01,0.7811995983760749
2019-12-01,-2.0492036274303764
2020-12-01,3.3727318564405913
2021-12-01,5.178031395611098
2022-12-01,2.868645834935214
