DATE,POINT_1,POINT_2,POINT_3,POINT_4,POINT_5,POINT_6,POINT_7
01/10/2018,2.262268066,2.423217773,2.886047363,3.334960938,3.527587891,1.964355469,0.176757813
01/01/2019,3.110534668,2.908874512,3.206726074,3.582702637,3.717102051,2.112365723,0.278564453
02/04/2019,3.893737793,3.690734863,4.080993652,4.533691406,4.709533691,3.128723145,1.234069824
02/07/2019,2.04675293,2.143310547,2.732116699,3.196228027,3.271240234,1.821228027,0.150634766
02/10/2019,-0.41015625,-0.16619873,0.290161133,0.583312988,0.702819824,0.157104492,-0.467285156
01/01/2020,0,0,0,0,0,0,0
01/04/2020,-0.278625488,-0.409118652,-0.676147461,-0.288146973,0.179931641,0.642578125,0.435241699
02/07/2020,-1.319641113,-1.877563477,-2.951477051,-2.719970703,-2.075195313,-1.038757324,-0.730773926
01/10/2020,-2.889892578,-3.93560791,-5.877929688,-5.888793945,-5.10369873,-3.324890137,-2.058044434
31/12/2020,-4.213012695,-5.48260498,-8.461486816,-9.413696289,-8.616149902,-6.002502441,-3.512817383
02/04/2021,-4.53302002,-6.14074707,-10.03369141,-11.71569824,-10.59063721,-7.498596191,-4.644958496
02/07/2021,-5.629455566,-7.588623047,-12.28527832,-14.65106201,-13.23187256,-9.980651855,-7.076965332
01/10/2021,-7.842407227,-10.40924072,-16.01953125,-19.36383057,-17.91107178,-14.31988525,-10.77209473
01/01/2022,-8.332092285,-11.30767822,-17.5513916,-21.37335205,-19.72424316,-15.87103271,-12.28027344
02/04/2022,-8.393310547,-11.26434326,-17.38262939,-20.54156494,-18.55841064,-15.08526611,-12.51025391
02/07/2022,-9.085083008,-11.77838135,-17.39520264,-19.56896973,-17.70275879,-14.76324463,-12.91296387
01/10/2022,-10.90771484,-13.53643799,-18.74603271,-19.8737793,-17.78948975,-14.82366943,-13.18029785
01/01/2023,-10.55804443,-13.20068359,-18.29571533,-18.97418213,-16.85888672,-13.8538208,-12.28137207
